match_id,match_date,kick_off,competition_name,season_name,competition_stage,home_team,away_team,home_score,away_score,stadium,referee,match_label,home_result,away_result,competition_short,tournament_id
3922240,2024-01-28,20:00:00.000,African Cup of Nations,2023,Round of 16,Egypt,Congo DR,1,1,Stade Laurent Pokou,Abongile Tom,2024-01-28 | Egypt 1-1 Congo DR,Draw,Draw,AFCON,AFCON_2023
3920400,2024-01-19,17:00:00.000,African Cup of Nations,2023,Group Stage,Senegal,Cameroon,3,1,Stade Charles Konan Banny de Yamoussoukro,Mahmood Ali Mahmood Ismail,2024-01-19 | Senegal 3-1 Cameroon,Win,Loss,AFCON,AFCON_2023
3920395,2024-01-17,20:00:00.000,African Cup of Nations,2023,Group Stage,Congo DR,Zambia,1,1,Stade Laurent Pokou,Bamlak Tessema Weyesa,2024-01-17 | Congo DR 1-1 Zambia,Draw,Draw,AFCON,AFCON_2023
3920407,2024-01-21,20:00:00.000,African Cup of Nations,2023,Group Stage,South Africa,Namibia,4,0,Stade Amadou Gon Coulibaly,Youcef Gamouh,2024-01-21 | South Africa 4-0 Namibia,Win,Loss,AFCON,AFCON_2023
3920412,2024-01-23,17:00:00.000,African Cup of Nations,2023,Group Stage,Guinea,Senegal,0,2,Stade Charles Konan Banny de Yamoussoukro,Pacifique Ndabihawenimana,2024-01-23 | Guinea 0-2 Senegal,Loss,Win,AFCON,AFCON_2023
3920415,2024-01-23,20:00:00.000,African Cup of Nations,2023,Group Stage,Mauritania,Algeria,1,0,Stade de Bouaké,Omar Abdulkadir Artan,2024-01-23 | Mauritania 1-0 Algeria,Win,Loss,AFCON,AFCON_2023
3920404,2024-01-20,20:00:00.000,African Cup of Nations,2023,Group Stage,Tunisia,Mali,1,1,Stade Amadou Gon Coulibaly,Daniel Nii Ayi Laryea,2024-01-20 | Tunisia 1-1 Mali,Draw,Draw,AFCON,AFCON_2023
3920393,2024-01-16,17:00:00.000,African Cup of Nations,2023,Group Stage,Tunisia,Namibia,0,1,Stade Amadou Gon Coulibaly,Abdulkadir Artan,2024-01-16 | Tunisia 0-1 Namibia,Loss,Win,AFCON,AFCON_2023
3920394,2024-01-17,17:00:00.000,African Cup of Nations,2023,Group Stage,Morocco,Tanzania,3,0,Stade Laurent Pokou,Alhadi Allaou Mahamat,2024-01-17 | Morocco 3-0 Tanzania,Win,Loss,AFCON,AFCON_2023
3920402,2024-01-20,14:00:00.000,African Cup of Nations,2023,Group Stage,Algeria,Burkina Faso,2,2,Stade de Bouaké,Abongile Tom,2024-01-20 | Algeria 2-2 Burkina Faso,Draw,Draw,AFCON,AFCON_2023
3920405,2024-01-21,14:00:00.000,African Cup of Nations,2023,Group Stage,Morocco,Congo DR,1,1,Stade Laurent Pokou,Peter Waweru Kamaku,2024-01-21 | Morocco 1-1 Congo DR,Draw,Draw,AFCON,AFCON_2023
3920416,2024-01-24,17:00:00.000,African Cup of Nations,2023,Group Stage,South Africa,Tunisia,0,0,Stade Amadou Gon Coulibaly,Issa Sy,2024-01-24 | South Africa 0-0 Tunisia,Draw,Draw,AFCON,AFCON_2023
3922658,2024-02-03,20:00:00.000,African Cup of Nations,2023,Quarter-finals,Cape Verde Islands,South Africa,0,0,Stade Charles Konan Banny de Yamoussoukro,Jean Jacques Ndala Ngambo,2024-02-03 | Cape Verde Islands 0-0 South Africa,Draw,Draw,AFCON,AFCON_2023
3920408,2024-01-22,17:00:00.000,African Cup of Nations,2023,Group Stage,Equatorial Guinea,Côte d'Ivoire,4,0,Stade Olympique Alassane Ouattara,Mahmood Ali Mahmood Ismail,2024-01-22 | Equatorial Guinea 4-0 Côte d'Ivoire,Win,Loss,AFCON,AFCON_2023
3920410,2024-01-22,20:00:00.000,African Cup of Nations,2023,Group Stage,Mozambique,Ghana,2,2,Stade Olympique Alassane Ouattara,Ibrahim Mutaz,2024-01-22 | Mozambique 2-2 Ghana,Draw,Draw,AFCON,AFCON_2023
3923881,2024-02-11,20:00:00.000,African Cup of Nations,2023,Final,Nigeria,Côte d'Ivoire,1,2,Stade Olympique Alassane Ouattara,Dahane Beida,2024-02-11 | Nigeria 1-2 Côte d'Ivoire,Loss,Win,AFCON,AFCON_2023
3923880,2024-02-10,20:00:00.000,African Cup of Nations,2023,3rd Place Final,South Africa,Congo DR,0,0,Stade Félix Houphouët-Boigny      ,Bamlak Tessema Weyesa,2024-02-10 | South Africa 0-0 Congo DR,Draw,Draw,AFCON,AFCON_2023
3922838,2024-02-07,22:00:00.000,African Cup of Nations,2023,Semi-finals,Côte d'Ivoire,Congo DR,1,0,Stade Olympique Alassane Ouattara,Ibrahim Mutaz,2024-02-07 | Côte d'Ivoire 1-0 Congo DR,Win,Loss,AFCON,AFCON_2023
3922837,2024-02-07,17:00:00.000,African Cup of Nations,2023,Semi-finals,Nigeria,South Africa,1,1,Stade de Bouaké,Amin Mohamed Omar,2024-02-07 | Nigeria 1-1 South Africa,Draw,Draw,AFCON,AFCON_2023
3922242,2024-01-29,20:00:00.000,African Cup of Nations,2023,Round of 16,Senegal,Côte d'Ivoire,1,1,Stade Charles Konan Banny de Yamoussoukro,Pierre Ghislain Atcho,2024-01-29 | Senegal 1-1 Côte d'Ivoire,Draw,Draw,AFCON,AFCON_2023
3922659,2024-02-03,17:00:00.000,African Cup of Nations,2023,Quarter-finals,Mali,Côte d'Ivoire,1,2,Stade de Bouaké,Mohamed Adel Elsaid,2024-02-03 | Mali 1-2 Côte d'Ivoire,Loss,Win,AFCON,AFCON_2023
3922356,2024-02-02,20:00:00.000,African Cup of Nations,2023,Quarter-finals,Congo DR,Guinea,3,1,Stade Olympique Alassane Ouattara,Mustapha Ghorbal,2024-02-02 | Congo DR 3-1 Guinea,Win,Loss,AFCON,AFCON_2023
3922243,2024-01-30,20:00:00.000,African Cup of Nations,2023,Round of 16,Morocco,South Africa,0,2,Stade Laurent Pokou,Mahmood Ali Mahmood Ismail,2024-01-30 | Morocco 0-2 South Africa,Loss,Win,AFCON,AFCON_2023
3920396,2024-01-18,20:00:00.000,African Cup of Nations,2023,Group Stage,Egypt,Ghana,2,2,Stade Félix Houphouët-Boigny      ,Pierre Ghislain Atcho,2024-01-18 | Egypt 2-2 Ghana,Draw,Draw,AFCON,AFCON_2023
3920385,2024-01-14,17:00:00.000,African Cup of Nations,2023,Group Stage,Egypt,Mozambique,2,2,Stade Félix Houphouët-Boigny      ,Dahane Beida,2024-01-14 | Egypt 2-2 Mozambique,Draw,Draw,AFCON,AFCON_2023
3920387,2024-01-14,20:00:00.000,African Cup of Nations,2023,Group Stage,Ghana,Cape Verde Islands,1,2,Stade Félix Houphouët-Boigny      ,Jean Jacques Ndala Ngambo,2024-01-14 | Ghana 1-2 Cape Verde Islands,Loss,Win,AFCON,AFCON_2023
3920419,2024-01-24,20:00:00.000,African Cup of Nations,2023,Group Stage,Zambia,Morocco,0,1,Stade Laurent Pokou,Patrice Tanguy Mebiame,2024-01-24 | Zambia 0-1 Morocco,Loss,Win,AFCON,AFCON_2023
3920418,2024-01-24,20:00:00.000,African Cup of Nations,2023,Group Stage,Tanzania,Congo DR,0,0,Stade Amadou Gon Coulibaly,Amin Mohamed Omar,2024-01-24 | Tanzania 0-0 Congo DR,Draw,Draw,AFCON,AFCON_2023
3920411,2024-01-22,20:00:00.000,African Cup of Nations,2023,Group Stage,Cape Verde Islands,Egypt,2,2,Stade Félix Houphouët-Boigny      ,Alhadi Allaou Mahamat,2024-01-22 | Cape Verde Islands 2-2 Egypt,Draw,Draw,AFCON,AFCON_2023
3920398,2024-01-18,19:00:00.000,African Cup of Nations,2023,Group Stage,Côte d'Ivoire,Nigeria,0,1,Stade Olympique Alassane Ouattara,Mustapha Ghorbal,2024-01-18 | Côte d'Ivoire 0-1 Nigeria,Loss,Win,AFCON,AFCON_2023
3920391,2024-01-16,20:00:00.000,African Cup of Nations,2023,Group Stage,Mali,South Africa,2,0,Stade Amadou Gon Coulibaly,Mohamed Adel Hussein,2024-01-16 | Mali 2-0 South Africa,Win,Loss,AFCON,AFCON_2023
3920390,2024-01-15,20:00:00.000,African Cup of Nations,2023,Group Stage,Algeria,Angola,1,1,Stade de Bouaké,Issa Sy,2024-01-15 | Algeria 1-1 Angola,Draw,Draw,AFCON,AFCON_2023
3920388,2024-01-15,14:00:00.000,African Cup of Nations,2023,Group Stage,Senegal,Gambia,3,0,Stade Charles Konan Banny de Yamoussoukro,Redouane Jiyed,2024-01-15 | Senegal 3-0 Gambia,Win,Loss,AFCON,AFCON_2023
3920384,2024-01-13,22:00:00.000,African Cup of Nations,2023,Group Stage,Côte d'Ivoire,Guinea-Bissau,2,0,Stade Olympique Alassane Ouattara,Amin Mohamed Omar,2024-01-13 | Côte d'Ivoire 2-0 Guinea-Bissau,Win,Loss,AFCON,AFCON_2023
3939991,2024-07-03,01:00:00.000,Copa America,2024,Group Stage,Brazil,Colombia,1,1,Levi''s Stadium,Jesús Valenzuela Sáez,2024-07-03 | Brazil 1-1 Colombia,Draw,Draw,Copa América,Copa América_2024
3939982,2024-06-28,01:00:00.000,Copa America,2024,Group Stage,Uruguay,Bolivia,5,0,MetLife Stadium,Juan Gabriel Benítez,2024-06-28 | Uruguay 5-0 Bolivia,Win,Loss,Copa América,Copa América_2024
3939980,2024-06-26,22:00:00.000,Copa America,2024,Group Stage,Ecuador,Jamaica,3,1,Allegiant Stadium,Cristián Marcelo Garay Reyes,2024-06-26 | Ecuador 3-1 Jamaica,Win,Loss,Copa América,Copa América_2024
3939977,2024-06-26,01:00:00.000,Copa America,2024,Group Stage,Chile,Argentina,0,1,MetLife Stadium,Andrés Matonte,2024-06-26 | Chile 0-1 Argentina,Loss,Win,Copa América,Copa América_2024
3939975,2024-06-24,22:00:00.000,Copa America,2024,Group Stage,Colombia,Paraguay,2,1,NRG Stadium,Darío Herrera,2024-06-24 | Colombia 2-1 Paraguay,Win,Loss,Copa América,Copa América_2024
3939974,2024-06-23,22:00:00.000,Copa America,2024,Group Stage,United States,Bolivia,2,0,AT&T Stadium,Maurizio Mariani,2024-06-23 | United States 2-0 Bolivia,Win,Loss,Copa América,Copa América_2024
