competition_name,season_name,competition_short,tournament_id,match_id,team,player,total_events,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,completed_passes,pass_completion_pct
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Franck Yannick Kessié,134,1,39,36,7,3,1,2,0,0,0.015856586,38,97.43589743589743
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Ghislain Konan,230,0,72,62,12,5,6,2,1,1,0.0,59,81.94444444444444
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Ibrahim Sangaré,210,0,66,47,24,4,2,1,1,0,0.0,57,86.36363636363636
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Idrissa Doumbia,11,0,4,3,0,1,0,0,0,0,0.0,3,75.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Jean-Philippe Krasso,83,4,10,18,9,2,1,1,0,0,0.270901065,5,50.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Jeremie Boga,186,1,52,52,5,6,1,0,2,0,0.078778915,46,88.46153846153845
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Jonathan Bamba,103,0,28,27,5,1,1,0,0,0,0.0,21,75.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Karim Konaté,51,0,11,9,4,1,1,0,2,0,0.0,5,45.45454545454545
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Nicolas Pépé,50,1,10,11,3,2,1,0,0,0,0.09552963,9,90.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Obite Evan Ndicka,258,0,85,69,7,1,0,0,3,4,0.0,81,95.29411764705881
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Ousmane Diomande,193,0,65,54,7,7,1,0,2,1,0.0,61,93.84615384615384
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Seko Fofana,181,2,55,47,10,8,1,0,0,0,0.15435805,49,89.0909090909091
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Serge Aurier,90,0,31,25,2,2,1,0,1,1,0.0,27,87.09677419354838
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Wilfried Stephane Singo,98,1,29,27,5,0,2,2,0,1,0.09147192,24,82.75862068965517
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Willy Boly,40,0,12,10,3,0,1,1,0,1,0.0,11,91.66666666666666
