competition_name,season_name,competition_short,tournament_id,match_id,team,player,position,position_id,from,to,jersey_number,starter,position_x,position_y
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Chancel Mbemba Mangulu,Right Center Back,3.0,00:00,,22,True,25.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Arthur Masuaku,Left Back,6.0,00:00,,26,True,28.0,12.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Samuel Moutoussamy,Left Defensive Midfield,11.0,00:00,,8,True,45.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Aaron Tshibola,Right Defensive Midfield,9.0,78:13,,6,False,45.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Joris Kayembe Ditu,,,,,12,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Cédric Bakambu,Center Forward,23.0,00:00,65:01,17,True,105.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Yoane Wissa,Left Wing,21.0,00:00,87:11,20,True,88.0,12.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Silas Katompa Mvumpa,Left Wing,21.0,87:11,,11,False,88.0,12.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Grady Diangana,Right Wing,17.0,106:09,,7,False,88.0,68.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Omenuke Mfulu,,,,,27,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Dimitry Bertaud,,,,,16,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Théo Bongonda Mbul'Ofeko Batombo,Center Attacking Midfield,19.0,00:00,,10,True,78.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Rocky Bushiri,,,,,15,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Dylan Batubinsika,Left Center Back,5.0,00:00,65:01,5,True,25.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Simon Bokote Banza,Center Forward,23.0,65:01,,23,False,105.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Charles Pickel,Right Defensive Midfield,9.0,00:00,78:13,18,True,45.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Gedeon Kalulu Kyatengwa,Right Back,2.0,00:00,,24,True,28.0,68.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Lionel Mpasi-Nzau,Goalkeeper,1.0,00:00,,1,True,8.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Meschak Elia,Right Wing,17.0,00:00,106:09,13,True,88.0,68.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Henoc Inonga Baka,Left Center Back,5.0,65:01,,2,False,25.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Baggio Siadi Ngusia,,,,,21,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Brian Jephte Bayeye,,,,,4,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Congo DR,Fiston Kalala Mayele,,,,,19,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mohamed Naser Elsayed Elneny,Right Center Midfield,13.0,00:00,111:05,17,True,60.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Ahmed Elsayed Ali Elsayed Hegazy,Right Center Back,3.0,00:00,,6,True,25.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Ali Gabr,,,,,2,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mahmoud Abdul Monem Abdelhamid Soliman,,,,,11,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mahmoud Ibrahim Hassan,Left Wing,21.0,00:00,82:40,7,True,88.0,12.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Ahmed Hassan Mahgoub,,,,,9,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Omar Marmoush,Left Wing,21.0,82:40,98:54,22,False,88.0,12.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Ahmed Sayed,Right Wing,17.0,00:00,89:49,25,True,88.0,68.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mohamed Abougabal,Goalkeeper,1.0,00:00,,23,True,8.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mostafa Mohamed Ahmed Abdallah,Center Forward,23.0,00:00,71:37,19,True,105.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Hamdi Fathi,Left Center Midfield,15.0,00:00,83:14,5,True,60.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Yasser Ahmed Ibrahim El Hanafi,,,,,15,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mohamed Hany Gamal Eldemerdash,Right Back,2.0,00:00,,3,True,28.0,68.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mahmoud Hamada,Center Defensive Midfield,10.0,82:38,83:14,20,False,45.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Ahmed Mohamed Abo El Fotouh Mohamed,Left Back,6.0,00:00,45:00,13,True,28.0,12.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mostafa Fathi,Right Wing,17.0,89:49,98:54,18,False,88.0,68.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mohamed Abdelmonem,Left Center Back,5.0,00:00,,24,True,25.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mohanad Mostafa Lasheen,Right Defensive Midfield,9.0,111:05,,27,False,45.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mohamed Sobhi Mohamed Daader,,,,,26,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Marwan Attia Fahim Ghallab,Center Defensive Midfield,10.0,00:00,82:38,14,True,45.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Omar Kamal Abdel Wahed,Right Center Midfield,13.0,98:52,98:54,4,False,60.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Mohamed Hamdy Sharaf,Left Back,6.0,45:00,95:36,12,False,28.0,12.0
African Cup of Nations,2023,AFCON,AFCON_2023,3922240,Egypt,Ahmed Nasser Nasser Mahmoud Moawad El Shenawy,,,,,1,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Ismaïla Sarr,Right Midfield,12.0,00:00,80:51,18,True,62.0,66.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Idrissa Gana Gueye,Right Center Midfield,13.0,73:00,,5,False,60.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Sadio Mané,Left Midfield,16.0,00:00,,10,True,62.0,14.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Fodé Ballo Touré,,,,,12,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Cheikhou Kouyaté,,,,,8,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Nampalys Mendy,,,,,6,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Kalidou Koulibaly,Right Center Back,3.0,00:00,,3,True,25.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Edouard Mendy,Goalkeeper,1.0,00:00,,16,True,8.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Abdou Diallo,Left Center Back,5.0,00:00,,22,True,25.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Alfred Benjamin Gomis,,,,,1,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Habibou Mouhamadou Diallo,Center Forward,23.0,00:00,80:04,20,True,105.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Krépin Diatta,Right Back,2.0,00:00,,15,True,28.0,68.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Pape Gueye,Center Defensive Midfield,10.0,00:00,,26,True,45.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Abdoulaye Seck,,,,,4,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Pathé Ismaël Ciss,Left Center Midfield,15.0,89:53,,11,False,60.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Ismail Jakobs,Left Back,6.0,00:00,,14,True,28.0,12.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Formose Mendy,,,,,2,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Mory Diaw,,,,,23,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Nicolas Jackson,Center Forward,23.0,80:41,,7,False,105.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Pape Matar Sarr,Right Center Midfield,13.0,00:00,73:00,17,True,60.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Iliman Ndiaye,Right Midfield,12.0,80:51,,13,False,62.0,66.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,,,,,9,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,Lamine Camara,Left Center Midfield,15.0,00:00,85:04,25,True,60.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,André-Frank Zambo Anguissa,Left Center Midfield,15.0,00:00,45:00,8,True,60.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,Karl Brillant Toko Ekambi,,,,,12,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,Georges-Kévin Nkoudou Mbida,Left Midfield,16.0,00:00,,11,True,62.0,14.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,Olivier Michel Kemen,Right Center Midfield,13.0,00:00,45:00,6,True,60.0,52.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,Harold Moukoudi,,,,,2,False,,
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,Jean-Charles Castelletto,Left Center Back,5.0,00:00,45:00,21,True,25.0,28.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,André Onana,Goalkeeper,1.0,00:00,,24,True,8.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,Jules Olivier Ntcham,Center Defensive Midfield,10.0,78:19,,22,False,45.0,40.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,Nouhou Tolo,Left Back,6.0,00:00,,5,True,28.0,12.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,Devis Rogers Epassy Mboka,,,,,16,False,,
