competition_name,season_name,competition_short,tournament_id,team,player,position,current_role,target_role,role_fit_score,role_fit_rank
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Adam Ounas,Right Wing,Balanced Role,Box Threat,52.93,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Adam Ounas,Right Wing,Balanced Role,Tempo Controller,28.62,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Adam Ounas,Right Wing,Balanced Role,Progressive Carrier,52.42,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Adam Ounas,Right Wing,Balanced Role,Pressing Player,18.06,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Adam Ounas,Right Wing,Balanced Role,Ball Winner,21.26,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Adam Ounas,Right Wing,Balanced Role,Balanced Role,34.08,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Anthony Louis Mandréa,Goalkeeper,Goalkeeper,Box Threat,20.04,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Anthony Louis Mandréa,Goalkeeper,Goalkeeper,Tempo Controller,59.32,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Anthony Louis Mandréa,Goalkeeper,Goalkeeper,Progressive Carrier,38.55,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Anthony Louis Mandréa,Goalkeeper,Goalkeeper,Pressing Player,3.08,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Anthony Louis Mandréa,Goalkeeper,Goalkeeper,Ball Winner,49.49,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Anthony Louis Mandréa,Goalkeeper,Goalkeeper,Balanced Role,32.77,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Aïssa Mandi,Right Center Back,Tempo Controller,Box Threat,75.44,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Aïssa Mandi,Right Center Back,Tempo Controller,Tempo Controller,97.32,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Aïssa Mandi,Right Center Back,Tempo Controller,Progressive Carrier,99.34,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Aïssa Mandi,Right Center Back,Tempo Controller,Pressing Player,16.08,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Aïssa Mandi,Right Center Back,Tempo Controller,Ball Winner,40.98,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Aïssa Mandi,Right Center Back,Tempo Controller,Balanced Role,63.01,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Baghdad Bounedjah,Center Forward,Box Threat,Box Threat,98.2,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Baghdad Bounedjah,Center Forward,Box Threat,Tempo Controller,22.84,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Baghdad Bounedjah,Center Forward,Box Threat,Progressive Carrier,25.33,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Baghdad Bounedjah,Center Forward,Box Threat,Pressing Player,79.19,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Baghdad Bounedjah,Center Forward,Box Threat,Ball Winner,38.27,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Baghdad Bounedjah,Center Forward,Box Threat,Balanced Role,54.48,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Fares Chaïbi,Left Wing,Box Threat,Box Threat,77.19,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Fares Chaïbi,Left Wing,Box Threat,Tempo Controller,61.63,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Fares Chaïbi,Left Wing,Box Threat,Progressive Carrier,72.03,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Fares Chaïbi,Left Wing,Box Threat,Pressing Player,40.53,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Fares Chaïbi,Left Wing,Box Threat,Ball Winner,19.52,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Fares Chaïbi,Left Wing,Box Threat,Balanced Role,52.76,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Hichem Boudaoui,Right Center Midfield,Box Threat,Box Threat,90.45,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Hichem Boudaoui,Right Center Midfield,Box Threat,Tempo Controller,72.31,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Hichem Boudaoui,Right Center Midfield,Box Threat,Progressive Carrier,77.64,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Hichem Boudaoui,Right Center Midfield,Box Threat,Pressing Player,48.46,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Hichem Boudaoui,Right Center Midfield,Box Threat,Ball Winner,43.69,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Hichem Boudaoui,Right Center Midfield,Box Threat,Balanced Role,63.01,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Houssem Aouar,Left Center Midfield,Balanced Role,Box Threat,53.54,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Houssem Aouar,Left Center Midfield,Balanced Role,Tempo Controller,42.75,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Houssem Aouar,Left Center Midfield,Balanced Role,Progressive Carrier,37.67,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Houssem Aouar,Left Center Midfield,Balanced Role,Pressing Player,30.73,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Houssem Aouar,Left Center Midfield,Balanced Role,Ball Winner,14.47,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Houssem Aouar,Left Center Midfield,Balanced Role,Balanced Role,32.98,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Box Threat,56.66,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Tempo Controller,9.35,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Progressive Carrier,3.96,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Pressing Player,12.78,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Ball Winner,12.09,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Balanced Role,18.64,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Box Threat,65.04,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Tempo Controller,75.32,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Progressive Carrier,86.78,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Pressing Player,64.76,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Ball Winner,38.27,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Balanced Role,65.37,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Kévin Daniel Van Den Kerkhof,Right Back,Balanced Role,Box Threat,64.31,1.0
