competition_name,season_name,competition_short,tournament_id,team,matches,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,avg_pass_completion_pct,goals,wins,draws,losses,goals_for,goals_against,goal_difference,shots_per_match,passes_per_match,carries_per_match,pressures_per_match,recoveries_per_match,duels_per_match,interceptions_per_match,blocks_per_match,clearances_per_match,xg_per_match,goals_per_match,tempo,directness,pressing_intensity,defensive_activity,attacking_threat,shots_per_match_rank,passes_per_match_rank,carries_per_match_rank,pressures_per_match_rank,recoveries_per_match_rank,xg_per_match_rank,goals_per_match_rank,avg_pass_completion_pct_rank,tempo_rank,directness_rank,pressing_intensity_rank,defensive_activity_rank,attacking_threat_rank,general_style,offensive_style,defensive_style,strengths,weaknesses,most_used_formation,attack_score,build_up_score,defense_score,directness_score
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,3,47,1665,1347,311,123,84,23,35,34,3.88,84.27,3,0,2,1,3,4,-1,15.67,555.0,449.0,103.67,41.0,28.0,7.67,11.67,11.33,1.29,1.0,1004.0,2.82,144.67,58.67,7.04,0.88,1.0,1.0,0.04,0.35,0.58,0.48,0.92,1.0,0.62,0.04,0.08,0.83,Possession / Control,Possession-Based Attack,Balanced Defense,"['High shot volume', 'High possession volume', 'Strong passing accuracy']",['Low pressing activity'],,64.48,97.5,15.0,62.5
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,1,7,296,218,189,39,26,13,22,26,1.2,72.3,1,0,1,0,1,1,0,7.0,296.0,218.0,189.0,39.0,26.0,13.0,22.0,26.0,1.2,1.0,514.0,2.36,228.0,87.0,3.52,0.21,0.21,0.17,0.96,0.19,0.46,0.48,0.21,0.19,0.25,0.92,0.79,0.21,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,['High pressing intensity'],"['Low shot volume', 'Low possession volume', 'Low passing accuracy', 'Limited ball recovery activity']",,38.85,19.58,65.42,25.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,1,7,266,196,120,47,31,7,10,12,1.26,71.8,2,0,1,0,2,2,0,7.0,266.0,196.0,120.0,47.0,31.0,7.0,10.0,12.0,1.26,2.0,462.0,2.63,167.0,60.0,3.56,0.21,0.12,0.12,0.12,0.79,0.54,0.9,0.17,0.12,0.54,0.21,0.12,0.25,Balanced / Mixed,Balanced Attack,Recovery-Oriented,['Strong ball recovery activity'],"['Low shot volume', 'Low possession volume', 'Low passing accuracy', 'Low pressing activity']",,53.02,13.75,35.42,54.17
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,1,5,424,332,160,43,21,5,25,18,0.25,78.07,1,0,0,1,1,3,-2,5.0,424.0,332.0,160.0,43.0,21.0,5.0,25.0,18.0,0.25,1.0,756.0,1.18,203.0,69.0,2.15,0.08,0.54,0.58,0.75,0.65,0.08,0.48,0.42,0.58,0.08,0.77,0.17,0.08,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,['High pressing intensity'],"['Limited chance generation', 'Low shot volume']",,18.23,51.67,52.19,8.33
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,3,51,1383,1084,454,155,86,26,72,84,8.55,80.28,4,1,2,0,4,3,1,17.0,461.0,361.33,151.33,51.67,28.67,8.67,24.0,28.0,2.85,1.33,822.33,3.69,203.0,89.33,8.51,0.94,0.67,0.67,0.62,0.96,0.92,0.73,0.58,0.67,0.79,0.77,0.83,0.96,High Intensity / Pressing,High Chance Creation,Aggressive Pressing,"['Strong chance generation', 'High shot volume', 'High pressing intensity', 'Strong ball recovery activity', 'Direct attacking profile']",['No clear major weakness from selected indicators'],,87.6,64.17,84.9,79.17
African Cup of Nations,2023,AFCON,AFCON_2023,Congo DR,7,108,2813,2209,1063,322,207,45,100,142,23.92,78.39,6,1,5,1,6,5,1,15.43,401.86,315.57,151.86,46.0,29.57,6.43,14.29,20.29,3.42,0.86,717.43,3.84,197.86,70.57,8.22,0.83,0.5,0.5,0.67,0.75,1.0,0.33,0.46,0.5,0.88,0.58,0.21,0.92,Direct / Vertical,High Chance Creation,Recovery-Oriented,"['Strong chance generation', 'High shot volume', 'Strong ball recovery activity', 'Direct attacking profile']",['No clear major weakness from selected indicators'],,78.33,48.75,50.21,87.5
African Cup of Nations,2023,AFCON,AFCON_2023,Côte d'Ivoire,7,102,3468,2801,879,353,226,50,109,137,11.52,81.75,8,4,1,2,8,8,0,14.57,495.43,400.14,125.57,50.43,32.29,7.14,15.57,19.57,1.65,1.14,895.57,2.94,176.0,74.57,6.82,0.79,0.83,0.83,0.25,0.88,0.71,0.62,0.75,0.83,0.67,0.38,0.33,0.71,Possession / Control,Possession-Based Attack,Recovery-Oriented,"['High shot volume', 'High possession volume', 'Strong passing accuracy', 'Strong ball recovery activity']",['No clear major weakness from selected indicators'],,71.25,80.83,51.04,66.67
African Cup of Nations,2023,AFCON,AFCON_2023,Egypt,4,80,2134,1704,575,196,112,43,72,79,13.32,84.51,7,0,4,0,7,7,0,20.0,533.5,426.0,143.75,49.0,28.0,10.75,18.0,19.75,3.33,1.75,959.5,3.75,192.75,76.5,10.0,1.0,0.92,0.96,0.5,0.83,0.96,0.83,0.96,0.92,0.83,0.54,0.46,1.0,Possession / Control,High Chance Creation,Recovery-Oriented,"['Strong chance generation', 'High shot volume', 'High possession volume', 'Strong passing accuracy', 'Strong ball recovery activity', 'Direct attacking profile']",['No clear major weakness from selected indicators'],,93.96,94.17,60.0,83.33
African Cup of Nations,2023,AFCON,AFCON_2023,Equatorial Guinea,1,10,209,143,131,39,40,1,17,37,1.09,64.11,4,1,0,0,4,0,4,10.0,209.0,143.0,131.0,39.0,40.0,1.0,17.0,37.0,1.09,4.0,352.0,4.78,170.0,95.0,4.66,0.46,0.08,0.04,0.38,0.19,0.38,1.0,0.08,0.04,0.96,0.33,0.88,0.46,Direct / Vertical,Direct Attack,High Defensive Activity,['Direct attacking profile'],"['Low possession volume', 'Low passing accuracy', 'Limited ball recovery activity']",,55.62,7.08,47.92,95.83
African Cup of Nations,2023,AFCON,AFCON_2023,Gambia,1,12,291,223,128,41,24,8,19,20,1.01,74.91,0,0,0,1,0,3,-3,12.0,291.0,223.0,128.0,41.0,24.0,8.0,19.0,20.0,1.01,0.0,514.0,4.12,169.0,71.0,5.41,0.58,0.17,0.21,0.29,0.35,0.29,0.08,0.29,0.19,0.92,0.29,0.25,0.54,Direct / Vertical,Direct Attack,Balanced Defense,['Direct attacking profile'],['Low possession volume'],,32.71,21.67,29.58,91.67
