competition_name,season_name,competition_short,tournament_id,match_id,team,total_events,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,completed_passes,pass_completion_pct
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,1998,10,598,510,103,48,20,9,12,9,0.7068961659999999,517,86.45484949832776
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,1450,10,394,301,145,36,26,15,16,17,0.5296147163,328,83.24873096446701
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,2025,22,589,497,141,59,25,11,9,12,1.9291997944000001,512,86.92699490662139
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,1445,6,373,329,140,31,19,11,20,40,0.728198501,309,82.84182305630027
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,1511,15,417,320,122,34,24,9,21,17,2.720214145,341,81.77458033573141
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,1504,11,386,307,185,40,33,16,19,13,1.437942942,304,78.75647668393782
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,1143,12,291,223,128,41,24,8,19,20,1.008395458,218,74.91408934707904
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,1986,14,594,469,129,34,32,5,10,8,1.7206511999999998,512,86.19528619528619
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,1935,16,589,453,101,40,27,7,10,6,0.696929411,489,83.02207130730051
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,1215,7,296,218,189,39,26,13,22,26,1.197465477,214,72.2972972972973
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,1623,16,438,332,184,43,43,14,24,17,2.3419830654,346,78.99543378995433
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,South Africa,1885,12,531,448,160,57,20,9,14,18,1.3898648275999999,441,83.05084745762711
African Cup of Nations,2023,AFCON,AFCON_2023,3920393,Namibia,1404,13,325,248,228,66,42,18,30,19,1.6100867957,223,68.61538461538461
African Cup of Nations,2023,AFCON,AFCON_2023,3920393,Tunisia,1687,9,490,338,129,37,24,7,21,45,0.8706826865,389,79.38775510204081
African Cup of Nations,2023,AFCON,AFCON_2023,3920394,Morocco,1779,15,520,409,127,45,18,6,18,12,2.300281349,452,86.92307692307692
African Cup of Nations,2023,AFCON,AFCON_2023,3920394,Tanzania,1645,2,470,369,120,41,23,10,19,23,0.011926915,392,83.40425531914893
African Cup of Nations,2023,AFCON,AFCON_2023,3920395,Congo DR,1683,27,499,415,81,56,17,2,6,13,2.6822564570000003,432,86.57314629258516
African Cup of Nations,2023,AFCON,AFCON_2023,3920395,Zambia,1420,3,409,278,104,27,28,1,25,27,0.096432803,339,82.88508557457213
African Cup of Nations,2023,AFCON,AFCON_2023,3920396,Egypt,1723,11,479,390,155,35,26,13,17,22,1.20358015,404,84.34237995824635
African Cup of Nations,2023,AFCON,AFCON_2023,3920396,Ghana,1398,6,355,300,163,40,26,9,15,36,0.425947081,279,78.59154929577464
African Cup of Nations,2023,AFCON,AFCON_2023,3920398,Côte d'Ivoire,1577,14,460,358,88,42,31,4,14,17,0.6072311182,376,81.73913043478261
African Cup of Nations,2023,AFCON,AFCON_2023,3920398,Nigeria,1074,11,268,181,103,36,37,7,20,29,1.575570081,199,74.25373134328358
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Cameroon,1514,5,424,332,160,43,21,5,25,18,0.248547065,331,78.06603773584906
African Cup of Nations,2023,AFCON,AFCON_2023,3920400,Senegal,1364,5,378,242,170,38,24,3,25,22,1.2311798999999999,278,73.54497354497354
African Cup of Nations,2023,AFCON,AFCON_2023,3920402,Algeria,1580,15,458,358,106,36,25,8,9,16,1.998045971,396,86.46288209606988
African Cup of Nations,2023,AFCON,AFCON_2023,3920402,Burkina Faso,1049,7,266,196,120,47,31,7,10,12,1.258992304,191,71.80451127819549
African Cup of Nations,2023,AFCON,AFCON_2023,3920404,Mali,1779,12,518,376,148,31,43,10,15,29,0.845760372,437,84.36293436293437
African Cup of Nations,2023,AFCON,AFCON_2023,3920404,Tunisia,1225,5,340,223,146,36,26,5,18,17,0.5300487537,248,72.94117647058823
African Cup of Nations,2023,AFCON,AFCON_2023,3920405,Congo DR,1298,11,343,258,129,47,30,3,16,12,2.31023671,262,76.38483965014578
African Cup of Nations,2023,AFCON,AFCON_2023,3920405,Morocco,1495,11,416,325,125,31,30,8,18,17,1.0546321737,341,81.97115384615384
African Cup of Nations,2023,AFCON,AFCON_2023,3920407,Namibia,1436,4,382,271,144,66,43,11,23,14,0.5685470404,256,67.01570680628272
African Cup of Nations,2023,AFCON,AFCON_2023,3920407,South Africa,1500,12,403,284,150,57,26,13,22,15,2.215672192,285,70.71960297766749
