competition_name,season_name,competition_short,tournament_id,team,similar_competition_name,similar_season_name,similar_competition_short,similar_tournament_id,similar_team,similarity_score,similarity_rank
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,African Cup of Nations,2023,AFCON,AFCON_2023,Côte d'Ivoire,77.04,9.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,African Cup of Nations,2023,AFCON,AFCON_2023,Morocco,89.42,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Copa America,2024,Copa América,Copa América_2024,Argentina,77.34,8.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Copa America,2024,Copa América,Copa América_2024,Panama,79.07,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,FIFA World Cup,2022,World Cup,World Cup_2022,Belgium,74.14,10.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,FIFA World Cup,2022,World Cup,World Cup_2022,England,78.54,7.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,FIFA World Cup,2022,World Cup,World Cup_2022,Portugal,79.09,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,UEFA Euro,2024,Euro,Euro_2024,Belgium,84.26,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,UEFA Euro,2024,Euro,Euro_2024,France,84.32,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,UEFA Euro,2024,Euro,Euro_2024,Netherlands,88.71,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,African Cup of Nations,2023,AFCON,AFCON_2023,Ghana,89.02,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,African Cup of Nations,2023,AFCON,AFCON_2023,Namibia,86.18,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Copa America,2024,Copa América,Copa América_2024,Chile,75.34,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Copa America,2024,Copa América,Copa América_2024,Costa Rica,88.17,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Copa America,2024,Copa América,Copa América_2024,Peru,67.62,9.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,74.91,7.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,FIFA World Cup,2022,World Cup,World Cup_2022,Morocco,67.54,10.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,UEFA Euro,2024,Euro,Euro_2024,Hungary,84.68,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,UEFA Euro,2024,Euro,Euro_2024,Romania,67.95,8.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,UEFA Euro,2024,Euro,Euro_2024,Slovenia,82.0,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,African Cup of Nations,2023,AFCON,AFCON_2023,Angola,53.97,9.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,African Cup of Nations,2023,AFCON,AFCON_2023,Equatorial Guinea,69.96,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,African Cup of Nations,2023,AFCON,AFCON_2023,Gambia,57.37,8.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,African Cup of Nations,2023,AFCON,AFCON_2023,Ghana,69.02,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,African Cup of Nations,2023,AFCON,AFCON_2023,Mozambique,75.62,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,African Cup of Nations,2023,AFCON,AFCON_2023,Nigeria,63.35,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Copa America,2024,Copa América,Copa América_2024,Peru,62.24,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Copa America,2024,Copa América,Copa América_2024,United States,76.43,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,FIFA World Cup,2022,World Cup,World Cup_2022,Iran,53.75,10.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,FIFA World Cup,2022,World Cup,World Cup_2022,Poland,57.87,7.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,African Cup of Nations,2023,AFCON,AFCON_2023,Guinea,78.8,7.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,African Cup of Nations,2023,AFCON,AFCON_2023,Tanzania,86.49,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,African Cup of Nations,2023,AFCON,AFCON_2023,Tunisia,79.88,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Copa America,2024,Copa América,Copa América_2024,Bolivia,82.73,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Copa America,2024,Copa América,Copa América_2024,Chile,80.55,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Copa America,2024,Copa América,Copa América_2024,Costa Rica,78.72,8.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,86.53,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,FIFA World Cup,2022,World Cup,World Cup_2022,Qatar,77.6,9.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,UEFA Euro,2024,Euro,Euro_2024,Scotland,87.82,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,UEFA Euro,2024,Euro,Euro_2024,Serbia,75.27,10.0
